"cidade", "regiao", "bandeira"
"Agudo", "R01, R02", "vermelha"
"Cacequi", "R01, R02", "vermelha"
"Capão do Cipó", "R01, R02", "vermelha"
"Dilermando de Aguiar", "R01, R02", "vermelha"
"Dona Francisca", "R01, R02", "vermelha"
"Faxinal do Soturno", "R01, R02", "vermelha"
"Formigueiro", "R01, R02", "vermelha"
"Itaara", "R01, R02", "vermelha"
"Itacurubi", "R01, R02", "vermelha"
"Ivorá", "R01, R02", "vermelha"
"Jaguari", "R01, R02", "vermelha"
"Jari", "R01, R02", "vermelha"
"Júlio de Castilhos", "R01, R02", "vermelha"
"Mata", "R01, R02", "vermelha"
"Nova Esperança do Sul", "R01, R02", "vermelha"
"Nova Palma", "R01, R02", "vermelha"
"Paraíso do Sul", "R01, R02", "vermelha"
"Pinhal Grande", "R01, R02", "vermelha"
"Quevedos", "R01, R02", "vermelha"
"Restinga Seca", "R01, R02", "vermelha"
"Santa Maria", "R01, R02", "vermelha"
"Santiago", "R01, R02", "vermelha"
"São Francisco de Assis", "R01, R02", "vermelha"
"São João do Polêsine", "R01, R02", "vermelha"
"São Martinho da Serra", "R01, R02", "vermelha"
"São Pedro do Sul", "R01, R02", "vermelha"
"São Sepé", "R01, R02", "vermelha"
"São Vicente do Sul", "R01, R02", "vermelha"
"Silveira Martins", "R01, R02", "vermelha"
"Toropi", "R01, R02", "vermelha"
"Unistalda", "R01, R02", "vermelha"
"Vila Nova do Sul", "R01, R02", "vermelha"
"Alegrete", "R03", "vermelha"
"Barra do Quaraí", "R03", "vermelha"
"Itaqui", "R03", "vermelha"
"Maçambara", "R03", "vermelha"
"Manoel Viana", "R03", "vermelha"
"Quaraí", "R03", "vermelha"
"Rosário do Sul", "R03", "vermelha"
"Santa Margarida do Sul", "R03", "vermelha"
"Santana do Livramento", "R03", "vermelha"
"São Gabriel", "R03", "vermelha"
"Uruguaiana", "R03", "vermelha"
"Arroio do Sal", "R04, R05", "vermelha"
"Balneário Pinhal", "R04, R05", "vermelha"
"Capão da Canoa", "R04, R05", "vermelha"
"Capivari do Sul", "R04, R05", "vermelha"
"Caraá", "R04, R05", "vermelha"
"Cidreira", "R04, R05", "vermelha"
"Dom Pedro de Alcântara", "R04, R05", "vermelha"
"Imbé", "R04, R05", "vermelha"
"Itati", "R04, R05", "vermelha"
"Mampituba", "R04, R05", "vermelha"
"Maquiné", "R04, R05", "vermelha"
"Morrinhos do Sul", "R04, R05", "vermelha"
"Mostardas", "R04, R05", "vermelha"
"Osório", "R04, R05", "vermelha"
"Palmares do Sul", "R04, R05", "vermelha"
"Santo Antônio da Patrulha", "R04, R05", "vermelha"
"Tavares", "R04, R05", "vermelha"
"Terra de Areia", "R04, R05", "vermelha"
"Torres", "R04, R05", "vermelha"
"Tramandaí", "R04, R05", "vermelha"
"Três Cachoeiras", "R04, R05", "vermelha"
"Três Forquilhas", "R04, R05", "vermelha"
"Xangri-lá", "R04, R05", "vermelha"
"Cambará do Sul", "R06", "vermelha"
"Igrejinha", "R06", "vermelha"
"Parobé", "R06", "vermelha"
"Riozinho", "R06", "vermelha"
"Rolante", "R06", "vermelha"
"São Francisco de Paula", "R06", "vermelha"
"Taquara", "R06", "vermelha"
"Três Coroas", "R06", "vermelha"
"Araricá", "R07", "vermelha"
"Campo Bom", "R07", "vermelha"
"Dois Irmãos", "R07", "vermelha"
"Estância Velha", "R07", "vermelha"
"Ivoti", "R07", "vermelha"
"Lindolfo Collor", "R07", "vermelha"
"Morro Reuter", "R07", "vermelha"
"Nova Hartz", "R07", "vermelha"
"Novo Hamburgo", "R07", "vermelha"
"Portão", "R07", "vermelha"
"Presidente Lucena", "R07", "vermelha"
"Santa Maria do Herval", "R07", "vermelha"
"São José do Hortêncio", "R07", "vermelha"
"São Leopoldo", "R07", "vermelha"
"Sapiranga", "R07", "vermelha"
"Barão", "R08", "vermelha"
"Brochier", "R08", "vermelha"
"Canoas", "R08", "vermelha"
"Capela de Santana", "R08", "vermelha"
"Esteio", "R08", "vermelha"
"Harmonia", "R08", "vermelha"
"Maratá", "R08", "vermelha"
"Montenegro", "R08", "vermelha"
"Nova Santa Rita", "R08", "vermelha"
"Pareci Novo", "R08", "vermelha"
"Salvador do Sul", "R08", "vermelha"
"São José do Sul", "R08", "vermelha"
"São Pedro da Serra", "R08", "vermelha"
"São Sebastião do Caí", "R08", "vermelha"
"Sapucaia do Sul", "R08", "vermelha"
"Tabaí", "R08", "vermelha"
"Triunfo", "R08", "vermelha"
"Tupandi", "R08", "vermelha"
"Alvorada", "R09, R10", "vermelha"
"Arambaré", "R09, R10", "vermelha"
"Arroio dos Ratos", "R09, R10", "vermelha"
"Barão do Triunfo", "R09, R10", "vermelha"
"Barra do Ribeiro", "R09, R10", "vermelha"
"Butiá", "R09, R10", "vermelha"
"Cachoeirinha", "R09, R10", "vermelha"
"Camaquã", "R09, R10", "vermelha"
"Cerro Grande do Sul", "R09, R10", "vermelha"
"Charqueadas", "R09, R10", "vermelha"
"Chuvisca", "R09, R10", "vermelha"
"Dom Feliciano", "R09, R10", "vermelha"
"Eldorado do Sul", "R09, R10", "vermelha"
"General Câmara", "R09, R10", "vermelha"
"Glorinha", "R09, R10", "vermelha"
"Gravataí", "R09, R10", "vermelha"
"Guaíba", "R09, R10", "vermelha"
"Mariana Pimentel", "R09, R10", "vermelha"
"Minas do Leão", "R09, R10", "vermelha"
"Porto Alegre", "R09, R10", "vermelha"
"São Jerônimo", "R09, R10", "vermelha"
"Sentinela do Sul", "R09, R10", "vermelha"
"Sertão Santana", "R09, R10", "vermelha"
"Tapes", "R09, R10", "vermelha"
"Viamão", "R09, R10", "vermelha"
"Bossoroca", "R11", "vermelha"
"Caibaté", "R11", "vermelha"
"Cerro Largo", "R11", "vermelha"
"Dezesseis de Novembro", "R11", "vermelha"
"Entre-Ijuís", "R11", "vermelha"
"Eugênio de Castro", "R11", "vermelha"
"Garruchos", "R11", "vermelha"
"Guarani das Missões", "R11", "vermelha"
"Mato Queimado", "R11", "vermelha"
"Pirapó", "R11", "vermelha"
"Porto Xavier", "R11", "vermelha"
"Rolador", "R11", "vermelha"
"Roque Gonzales", "R11", "vermelha"
"Salvador das Missões", "R11", "vermelha"
"Santo Ângelo", "R11", "vermelha"
"Santo Antônio das Missões", "R11", "vermelha"
"São Borja", "R11", "vermelha"
"São Luiz Gonzaga", "R11", "vermelha"
"São Miguel das Missões", "R11", "vermelha"
"São Nicolau", "R11", "vermelha"
"São Pedro do Butiá", "R11", "vermelha"
"Sete de Setembro", "R11", "vermelha"
"Ubiretama", "R11", "vermelha"
"Vitória das Missões", "R11", "vermelha"
"Boa Vista do Cadeado", "R12", "vermelha"
"Boa Vista do Incra", "R12", "vermelha"
"Colorado", "R12", "vermelha"
"Cruz Alta", "R12", "vermelha"
"Fortaleza dos Valos", "R12", "vermelha"
"Ibirubá", "R12", "vermelha"
"Jacuizinho", "R12", "vermelha"
"Quinze de Novembro", "R12", "vermelha"
"Saldanha Marinho", "R12", "vermelha"
"Salto do Jacuí", "R12", "vermelha"
"Santa Bárbara do Sul", "R12", "vermelha"
"Selbach", "R12", "vermelha"
"Tupanciretã", "R12", "vermelha"
"Ajuricaba", "R13", "vermelha"
"Augusto Pestana", "R13", "vermelha"
"Bozano", "R13", "vermelha"
"Campo Novo", "R13", "vermelha"
"Catuípe", "R13", "vermelha"
"Chiapetta", "R13", "vermelha"
"Condor", "R13", "vermelha"
"Coronel Barros", "R13", "vermelha"
"Crissiumal", "R13", "vermelha"
"Humaitá", "R13", "vermelha"
"Ijuí", "R13", "vermelha"
"Inhacorá", "R13", "vermelha"
"Jóia", "R13", "vermelha"
"Nova Ramada", "R13", "vermelha"
"Panambi", "R13", "vermelha"
"Pejuçara", "R13", "vermelha"
"Santo Augusto", "R13", "vermelha"
"São Martinho", "R13", "vermelha"
"São Valério do Sul", "R13", "vermelha"
"Sede Nova", "R13", "vermelha"
"Alecrim", "R14", "vermelha"
"Alegria", "R14", "vermelha"
"Boa Vista do Buricá", "R14", "vermelha"
"Campina das Missões", "R14", "vermelha"
"Cândido Godói", "R14", "vermelha"
"Doutor Maurício Cardoso", "R14", "vermelha"
"Giruá", "R14", "vermelha"
"Horizontina", "R14", "vermelha"
"Independência", "R14", "vermelha"
"Nova Candelária", "R14", "vermelha"
"Novo Machado", "R14", "vermelha"
"Porto Lucena", "R14", "vermelha"
"Porto Mauá", "R14", "vermelha"
"Porto Vera Cruz", "R14", "vermelha"
"Santa Rosa", "R14", "vermelha"
"Santo Cristo", "R14", "vermelha"
"São José do Inhacorá", "R14", "vermelha"
"São Paulo das Missões", "R14", "vermelha"
"Senador Salgado Filho", "R14", "vermelha"
"Três de Maio", "R14", "vermelha"
"Tucunduva", "R14", "vermelha"
"Tuparendi", "R14", "vermelha"
"Alpestre", "R15, R20", "vermelha"
"Ametista do Sul", "R15, R20", "vermelha"
"Barra do Guarita", "R15, R20", "vermelha"
"Barra Funda", "R15, R20", "vermelha"
"Boa Vista das Missões", "R15, R20", "vermelha"
"Bom Progresso", "R15, R20", "vermelha"
"Braga", "R15, R20", "vermelha"
"Caiçara", "R15, R20", "vermelha"
"Cerro Grande", "R15, R20", "vermelha"
"Chapada", "R15, R20", "vermelha"
"Constantina", "R15, R20", "vermelha"
"Coronel Bicaco", "R15, R20", "vermelha"
"Cristal do Sul", "R15, R20", "vermelha"
"Derrubadas", "R15, R20", "vermelha"
"Dois Irmãos das Missões", "R15, R20", "vermelha"
"Engenho Velho", "R15, R20", "vermelha"
"Erval Seco", "R15, R20", "vermelha"
"Esperança do Sul", "R15, R20", "vermelha"
"Frederico Westphalen", "R15, R20", "vermelha"
"Gramado dos Loureiros", "R15, R20", "vermelha"
"Iraí", "R15, R20", "vermelha"
"Jaboticaba", "R15, R20", "vermelha"
"Lajeado do Bugre", "R15, R20", "vermelha"
"Liberato Salzano", "R15, R20", "vermelha"
"Miraguaí", "R15, R20", "vermelha"
"Nova Boa Vista", "R15, R20", "vermelha"
"Novo Barreiro", "R15, R20", "vermelha"
"Novo Tiradentes", "R15, R20", "vermelha"
"Novo Xingu", "R15, R20", "vermelha"
"Palmeira das Missões", "R15, R20", "vermelha"
"Palmitinho", "R15, R20", "vermelha"
"Pinhal", "R15, R20", "vermelha"
"Pinheirinho do Vale", "R15, R20", "vermelha"
"Planalto", "R15, R20", "vermelha"
"Redentora", "R15, R20", "vermelha"
"Rodeio Bonito", "R15, R20", "vermelha"
"Ronda Alta", "R15, R20", "vermelha"
"Rondinha", "R15, R20", "vermelha"
"Sagrada Família", "R15, R20", "vermelha"
"São José das Missões", "R15, R20", "vermelha"
"São Pedro das Missões", "R15, R20", "vermelha"
"Sarandi", "R15, R20", "vermelha"
"Seberi", "R15, R20", "vermelha"
"Taquaruçu do Sul", "R15, R20", "vermelha"
"Tenente Portela", "R15, R20", "vermelha"
"Tiradentes do Sul", "R15, R20", "vermelha"
"Três Palmeiras", "R15, R20", "vermelha"
"Três Passos", "R15, R20", "vermelha"
"Trindade do Sul", "R15, R20", "vermelha"
"Vicente Dutra", "R15, R20", "vermelha"
"Vista Alegre", "R15, R20", "vermelha"
"Vista Gaúcha", "R15, R20", "vermelha"
"Aratiba", "R16", "vermelha"
"Áurea", "R16", "vermelha"
"Barão de Cotegipe", "R16", "vermelha"
"Barra do Rio Azul", "R16", "vermelha"
"Benjamin Constant do Sul", "R16", "vermelha"
"Campinas do Sul", "R16", "vermelha"
"Carlos Gomes", "R16", "vermelha"
"Centenário", "R16", "vermelha"
"Charrua", "R16", "vermelha"
"Cruzaltense", "R16", "vermelha"
"Entre Rios do Sul", "R16", "vermelha"
"Erebango", "R16", "vermelha"
"Erechim", "R16", "vermelha"
"Erval Grande", "R16", "vermelha"
"Estação", "R16", "vermelha"
"Faxinalzinho", "R16", "vermelha"
"Floriano Peixoto", "R16", "vermelha"
"Gaurama", "R16", "vermelha"
"Getúlio Vargas", "R16", "vermelha"
"Ipiranga do Sul", "R16", "vermelha"
"Itatiba do Sul", "R16", "vermelha"
"Jacutinga", "R16", "vermelha"
"Marcelino Ramos", "R16", "vermelha"
"Mariano Moro", "R16", "vermelha"
"Nonoai", "R16", "vermelha"
"Paulo Bento", "R16", "vermelha"
"Ponte Preta", "R16", "vermelha"
"Quatro Irmãos", "R16", "vermelha"
"Rio dos Índios", "R16", "vermelha"
"São Valentim", "R16", "vermelha"
"Severiano de Almeida", "R16", "vermelha"
"Três Arroios", "R16", "vermelha"
"Viadutos", "R16", "vermelha"
"Água Santa", "R17, R18, R19", "vermelha"
"Almirante Tamandaré do Sul", "R17, R18, R19", "vermelha"
"Alto Alegre", "R17, R18, R19", "vermelha"
"André da Rocha", "R17, R18, R19", "vermelha"
"Arvorezinha", "R17, R18, R19", "vermelha"
"Barracão", "R17, R18, R19", "vermelha"
"Barros Cassal", "R17, R18, R19", "vermelha"
"Cacique Doble", "R17, R18, R19", "vermelha"
"Camargo", "R17, R18, R19", "vermelha"
"Campos Borges", "R17, R18, R19", "vermelha"
"Capão Bonito do Sul", "R17, R18, R19", "vermelha"
"Carazinho", "R17, R18, R19", "vermelha"
"Casca", "R17, R18, R19", "vermelha"
"Caseiros", "R17, R18, R19", "vermelha"
"Ciríaco", "R17, R18, R19", "vermelha"
"Coqueiros do Sul", "R17, R18, R19", "vermelha"
"Coxilha", "R17, R18, R19", "vermelha"
"David Canabarro", "R17, R18, R19", "vermelha"
"Ernestina", "R17, R18, R19", "vermelha"
"Espumoso", "R17, R18, R19", "vermelha"
"Fontoura Xavier", "R17, R18, R19", "vermelha"
"Gentil", "R17, R18, R19", "vermelha"
"Ibiaçá", "R17, R18, R19", "vermelha"
"Ibiraiaras", "R17, R18, R19", "vermelha"
"Ibirapuitã", "R17, R18, R19", "vermelha"
"Itapuca", "R17, R18, R19", "vermelha"
"Lagoa dos", "R17, R18, R19", "vermelha"
"Três Cantos", "R17, R18, R19", "vermelha"
"Lagoa Vermelha", "R17, R18, R19", "vermelha"
"Lagoão", "R17, R18, R19", "vermelha"
"Machadinho", "R17, R18, R19", "vermelha"
"Marau", "R17, R18, R19", "vermelha"
"Mato Castelhano", "R17, R18, R19", "vermelha"
"Maximiliano de Almeida", "R17, R18, R19", "vermelha"
"Montauri", "R17, R18, R19", "vermelha"
"Mormaço", "R17, R18, R19", "vermelha"
"Muliterno", "R17, R18, R19", "vermelha"
"Não-Me-Toque", "R17, R18, R19", "vermelha"
"Nicolau Vergueiro", "R17, R18, R19", "vermelha"
"Nova Alvorada", "R17, R18, R19", "vermelha"
"Paim Filho", "R17, R18, R19", "vermelha"
"Passo Fundo", "R17, R18, R19", "vermelha"
"Pontão", "R17, R18, R19", "vermelha"
"Sananduva", "R17, R18, R19", "vermelha"
"Santa Cecília do Sul", "R17, R18, R19", "vermelha"
"Santo Antônio do Palma", "R17, R18, R19", "vermelha"
"Santo Antônio do Planalto", "R17, R18, R19", "vermelha"
"Santo Expedito do Sul", "R17, R18, R19", "vermelha"
"São Domingos do Sul", "R17, R18, R19", "vermelha"
"São João da Urtiga", "R17, R18, R19", "vermelha"
"São José do Ouro", "R17, R18, R19", "vermelha"
"Serafina Corrêa", "R17, R18, R19", "vermelha"
"Sertão", "R17, R18, R19", "vermelha"
"Soledade", "R17, R18, R19", "vermelha"
"Tapejara", "R17, R18, R19", "vermelha"
"Tapera", "R17, R18, R19", "vermelha"
"Tio Hugo", "R17, R18, R19", "vermelha"
"Tunas", "R17, R18, R19", "vermelha"
"Tupanci do Sul", "R17, R18, R19", "vermelha"
"Vanini", "R17, R18, R19", "vermelha"
"Victor Graeff", "R17, R18, R19", "vermelha"
"Vila Lângaro", "R17, R18, R19", "vermelha"
"Vila Maria", "R17, R18, R19", "vermelha"
"Amaral Ferrador", "R21", "laranja"
"Arroio do Padre", "R21", "laranja"
"Arroio Grande", "R21", "laranja"
"Canguçu", "R21", "laranja"
"Capão do Leão", "R21", "laranja"
"Cerrito", "R21", "laranja"
"Chuí", "R21", "laranja"
"Cristal", "R21", "laranja"
"Herval", "R21", "laranja"
"Jaguarão", "R21", "laranja"
"Morro Redondo", "R21", "laranja"
"Pedras Altas", "R21", "laranja"
"Pedro Osório", "R21", "laranja"
"Pelotas", "R21", "laranja"
"Pinheiro Machado", "R21", "laranja"
"Piratini", "R21", "laranja"
"Rio Grande", "R21", "laranja"
"Santa Vitória do Palmar", "R21", "laranja"
"Santana da Boa Vista", "R21", "laranja"
"São José do Norte", "R21", "laranja"
"São Lourenço do Sul", "R21", "laranja"
"Turuçu", "R21", "laranja"
"Aceguá", "R22", "laranja"
"Bagé", "R22", "laranja"
"Candiota", "R22", "laranja"
"Dom Pedrito", "R22", "laranja"
"Hulha Negra", "R22", "laranja"
"Lavras do Sul", "R22", "laranja"
"Alto Feliz", "R23, R24, R25, R26", "vermelha"
"Antônio Prado", "R23, R24, R25, R26", "vermelha"
"Bento Gonçalves", "R23, R24, R25, R26", "vermelha"
"Boa Vista do Sul", "R23, R24, R25, R26", "vermelha"
"Bom Jesus", "R23, R24, R25, R26", "vermelha"
"Bom Princípio", "R23, R24, R25, R26", "vermelha"
"Campestre da Serra", "R23, R24, R25, R26", "vermelha"
"Canela", "R23, R24, R25, R26", "vermelha"
"Carlos Barbosa", "R23, R24, R25, R26", "vermelha"
"Caxias do Sul", "R23, R24, R25, R26", "vermelha"
"Coronel Pilar", "R23, R24, R25, R26", "vermelha"
"Cotiporã", "R23, R24, R25, R26", "vermelha"
"Esmeralda", "R23, R24, R25, R26", "vermelha"
"Fagundes Varela", "R23, R24, R25, R26", "vermelha"
"Farroupilha", "R23, R24, R25, R26", "vermelha"
"Feliz", "R23, R24, R25, R26", "vermelha"
"Flores da Cunha", "R23, R24, R25, R26", "vermelha"
"Garibaldi", "R23, R24, R25, R26", "vermelha"
"Gramado", "R23, R24, R25, R26", "vermelha"
"Guabiju", "R23, R24, R25, R26", "vermelha"
"Guaporé", "R23, R24, R25, R26", "vermelha"
"Ipê", "R23, R24, R25, R26", "vermelha"
"Jaquirana", "R23, R24, R25, R26", "vermelha"
"Linha Nova", "R23, R24, R25, R26", "vermelha"
"Monte Alegre dos Campos", "R23, R24, R25, R26", "vermelha"
"Monte Belo do Sul", "R23, R24, R25, R26", "vermelha"
"Muitos Capões", "R23, R24, R25, R26", "vermelha"
"Nova Araçá", "R23, R24, R25, R26", "vermelha"
"Nova Bassano", "R23, R24, R25, R26", "vermelha"
"Nova Pádua", "R23, R24, R25, R26", "vermelha"
"Nova Petrópolis", "R23, R24, R25, R26", "vermelha"
"Nova Prata", "R23, R24, R25, R26", "vermelha"
"Nova Roma do Sul", "R23, R24, R25, R26", "vermelha"
"Paraí", "R23, R24, R25, R26", "vermelha"
"Picada Café", "R23, R24, R25, R26", "vermelha"
"Pinhal da Serra", "R23, R24, R25, R26", "vermelha"
"Pinto Bandeira", "R23, R24, R25, R26", "vermelha"
"Protásio Alves", "R23, R24, R25, R26", "vermelha"
"Santa", "R23, R24, R25, R26", "vermelha"
"Tereza", "R23, R24, R25, R26", "vermelha"
"São Jorge", "R23, R24, R25, R26", "vermelha"
"São José dos Ausentes", "R23, R24, R25, R26", "vermelha"
"São Marcos", "R23, R24, R25, R26", "vermelha"
"São Vendelino", "R23, R24, R25, R26", "vermelha"
"União da Serra", "R23, R24, R25, R26", "vermelha"
"Vacaria", "R23, R24, R25, R26", "vermelha"
"Vale Real", "R23, R24, R25, R26", "vermelha"
"Veranópolis", "R23, R24, R25, R26", "vermelha"
"Vila Flores", "R23, R24, R25, R26", "vermelha"
"Vista Alegre do Prata", "R23, R24, R25, R26", "vermelha"
"Arroio do Tigre", "R27", "vermelha"
"Caçapava do Sul", "R27", "vermelha"
"Cachoeira do Sul", "R27", "vermelha"
"Cerro Branco", "R27", "vermelha"
"Encruzilhada do Sul", "R27", "vermelha"
"Estrela Velha", "R27", "vermelha"
"Ibarama", "R27", "vermelha"
"Lagoa Bonita do Sul", "R27", "vermelha"
"Novo Cabrais", "R27", "vermelha"
"Passa Sete", "R27", "vermelha"
"Segredo", "R27", "vermelha"
"Sobradinho", "R27", "vermelha"
"Candelária", "R28", "vermelha"
"Gramado Xavier", "R28", "vermelha"
"Herveiras", "R28", "vermelha"
"Mato Leitão", "R28", "vermelha"
"Pantano Grande", "R28", "vermelha"
"Passo do Sobrado", "R28", "vermelha"
"Rio Pardo", "R28", "vermelha"
"Santa Cruz do Sul", "R28", "vermelha"
"Sinimbu", "R28", "vermelha"
"Vale do Sol", "R28", "vermelha"
"Vale Verde", "R28", "vermelha"
"Venâncio Aires", "R28", "vermelha"
"Vera Cruz", "R28", "vermelha"
"Anta Gorda", "R29, R30", "vermelha"
"Arroio do Meio", "R29, R30", "vermelha"
"Bom Retiro do Sul", "R29, R30", "vermelha"
"Boqueirão do Leão", "R29, R30", "vermelha"
"Canudos do Vale", "R29, R30", "vermelha"
"Capitão", "R29, R30", "vermelha"
"Colinas", "R29, R30", "vermelha"
"Coqueiro Baixo", "R29, R30", "vermelha"
"Cruzeiro do Sul", "R29, R30", "vermelha"
"Dois Lajeados", "R29, R30", "vermelha"
"Doutor Ricardo", "R29, R30", "vermelha"
"Encantado", "R29, R30", "vermelha"
"Estrela", "R29, R30", "vermelha"
"Fazenda Vilanova", "R29, R30", "vermelha"
"Forquetinha", "R29, R30", "vermelha"
"Ilópolis", "R29, R30", "vermelha"
"Imigrante", "R29, R30", "vermelha"
"Lajeado", "R29, R30", "vermelha"
"Marques de Souza", "R29, R30", "vermelha"
"Muçum", "R29, R30", "vermelha"
"Nova Bréscia", "R29, R30", "vermelha"
"Paverama", "R29, R30", "vermelha"
"Poço das Antas", "R29, R30", "vermelha"
"Pouso Novo", "R29, R30", "vermelha"
"Progresso", "R29, R30", "vermelha"
"Putinga", "R29, R30", "vermelha"
"Relvado", "R29, R30", "vermelha"
"Roca Sales", "R29, R30", "vermelha"
"Santa Clara do Sul", "R29, R30", "vermelha"
"São José do Herval", "R29, R30", "vermelha"
"São Valentim do Sul", "R29, R30", "vermelha"
"Sério", "R29, R30", "vermelha"
"Taquari", "R29, R30", "vermelha"
"Teutônia", "R29, R30", "vermelha"
"Travesseiro", "R29, R30", "vermelha"
"Vespasiano Correa", "R29, R30", "vermelha"
"Westfalia", "R29, R30", "vermelha"